comment,Annot
"['the fact that most hospitals do not keep you over night anymore due to streamlining, is the problem.  not a lack of rooms its a lack of help and a cost cutting tactic.', 'no your not a biased tv talk show host this is not news or journalism.', 'a society whose citizens refuse to see and investigate the facts, who refuse to believe that their government and their media will routinely lie to them and fabricate a reality contrary to verifiable facts, is a society that chooses and deserves the Police State Dictatorship it’s going to get.” — Ian Williams Goddard', 'you mean all the falsehoods that were proven true.. tolerance is one thing but to force acceptance is another.', 'i just applied for it $538.00 a month $7,900.00 deductible... based on no income for 2020 or projected income for 2021 am unable to work due to a heart attack and also applied for disability and did not qualify....  before you speak on this topic of flat out lies by you leaders maybe look into the facts ...']",LEFT
"['12k likes 😂😂 Highly Doubtful', 'Oh White House is concerned. Hmm Good to know. 😂', 'Funny looks exactly like Utah I think I know where that is. 😂 We wanna see Mars not tests in Utah.', 'Looks like Utah wheres the real footage of Mars.', 'Looks like a Biden Rally minus the rover.']",LEFT
"['Liars, he showed the proof.', 'DECERTIFY', 'If it were not for witch hunts.', ""You are just a part of the cover-up! I've been watching from the beginning as have 80 million others."", 'Of course, it was created in and leaked from a lab.']",LEFT
"['viva pancho villa', 'viva la revolution y viva pancho villa', 'viva la revolution', '>>> trumpTRUMPtrump<<<', '>>>>> adioADIOadio <<<<<']",LEFT
"[""Brian Stelter is on fire!!! He debunked Tucker's conspiracy within seconds with facts, logic and evidence straight up like a baaaws! I put some YASSS on ma Slay Queen for this segment! GO BRIAN!!!"", ""Fauci is a great example of why we shouldn't bully people in school no matter how punchable their face appears to be (:"", ""That's like appointing Bin Laden to investigate who did 9/11"", ""I don't get what is the problem here.... You know... It's like when a homicide occurs and naturally the police puts the main suspect a head of the investigation...you know the thing..."", ""I'm soo glad this happened!!! It always bothered me that the show was on this channel because apart from Useful Idiots everything else here is propaganda business as usual and it didn't fit at all....and now you've closed the bubble completely :) I'm happy to unsubscribe and I wish Matt and Katie all the success in the world because they deserve it. They are an example of what real journalism is which the world lacks at the moment. Byeeee (:""]",LEFT
"['MAGA', 'Where’s Hunter?', 'Where’s Hunter?', 'How about going after Hunter and Hillary?', 'Smear campaign']",LEFT
"['Who knows who to believe? There are different aspects to be scrutinized regarding reports such as this. Fact: people lie.', 'Not long after events of 1-6-21 unfolded someone made comments indicating that NOTHING like this had ever happened..not sure if they said ON Capitol grounds. However, there WAS something that happened that I never was taught in school and that was the ""bonus"" army that protested/ marched on D.C.  It was pretty bad. What was done to veterans. A mess. One might call it chaos.', 'Publicity for Wokoff book?', ""I'll bet SOMEONE didn't tell the truth about some things. Maybe when buildings were built, and more recently."", 'Halfway through and dont hear anything...except like Charlie Brown. cartoon dialogue, ""waaa waa waaa"". Guns are not the problem; see automobiles, knives, etc.']",LEFT
"[""Keep on grasping for them straws something might stick to the wall. Oh that didn't make any sense but neither does this. "", ""Y'all getting scared CNN you should be. Time for the pain to begin."", 'Can anybody say false flag....', ""Yeah man it's global warming man we're getting hotter and hotter and hotter and we getting lots of snow. We need to hide in our basements. If you don't have a basement then dig a hole.ahhhhhhhhhhhhhhh. 😉🤣🤣🤣🤣🤣🤣🤣🤣"", ""Oh you will be hearing from him it's not going to be a good thing for you. Tick tock tick tock tick tock""]",LEFT
"['You cut out the part where DeSantis told Biden to close the southern border. Dishonest.', ""A universe where people understand that a shot won't stop a respiratory virus from infecting them?"", '""I want to be clear about one thing..""\' I\'m going to go cash my Chinese Communist checks after  this session before they find out how much I suck at demoralization.\'', ""@Michele Decillion\xa0 The officer didn't have time to ask who called. He shot the suspect who was commiting battery with a lethal weapon."", '""Don\'t take my mic.."" the guy was just trying to shake her hand. Ridiculous.']",LEFT
"['Cry me a river I am getting tired my rights should be given up due to crisises so not comply. Death comes to us all', 'feel the CNN does not know anything that they can use to do anything with. imagine my shock ', '#notmypresident', 'can we do this to that old white guy and his POC woman in the white house next?', 'What ever happened to this guy supporting ACAB and defunding LEOs? ']",LEFT
