Name,Bias Rating,Country,Website,Youtube Channel,Twitter Handle,Twitter Similarity
Accountable.US,left,USA,https://www.accountable.us/,,accountable_us,0.88
Act.TV (act.tv),left,USA,http://act.tv,actdottv,actdottv,0.5454545454545454
Aftonbladet,left,Sweden,https://www.aftonbladet.se,,,
Al DIA,left,USA,https://aldianews.com,pontealdiatv,aldianews,1.0
Alliance for Justice (AFJ) (www.afj.org),left,USA,https://www.afj.org/,alliance4justice,afjustice,0.5
Alt News,left,India,https://www.altnews.in,AltNewsVIdeos,altnews,1.0
Alternet (www.alternet.org),left,USA,https://www.alternet.org/,,alternet,1.0
Amandla (aidc.org.za),left,South Africa,http://aidc.org.za/amandla-media/,UCmX0gITcFMtmDSah8-wCChw,aidc_rsa,0.6666666666666666
America Blog (americablog.com),left,USA,http://americablog.com/,,,
American Bridge 21st Century (americanbridgepac.org),left,USA,https://americanbridgepac.org/,AmericanBridgePAC,american_bridge,0.875
American Oversight,left,USA,https://www.americanoversight.org,,,
Americans United for Separation of Church and State (www.au.org),left,USA,https://www.au.org/,,,
Angry White Men (angrywhitemen.org),left,USA,https://angrywhitemen.org,,,
Attack the System (attackthesystem.com),left,USA,https://attackthesystem.com/,,,
AutoStraddle (www.autostraddle.com),left,USA,https://www.autostraddle.com/,,autostraddle,1.0
Baltimore City Paper (www.citypaper.com),left,USA,https://www.baltimoresun.com/citypaper/,,,
Bay Area Reporter (www.ebar.com),left,USA,http://www.ebar.com/,UC_WSavcwZVE3ciFM8yCwkBw,,
Being Liberal (www.themaven.net),left,USA,https://beingliberal.org/,,,
"BillMoyers.com (billmoyers.com)
",left,USA,https://billmoyers.com/,,billmoyers,1.0
Bitch Media (bitchmedia.org),left,USA,https://bitchmedia.org/,,bitchmedia,1.0
Black Agenda Report (blackagendareport.com),left,USA,https://blackagendareport.com/,,blkagendareport,0.9375
Black America Web (blackamericaweb.com),left,USA,https://blackamericaweb.com/,blackamericaweb,,
Black Lives Matter (blacklivesmatter.com),left,USA,https://blacklivesmatter.com,,,
Black Main Street (blackmainstreet.net),left,USA,https://blackmainstreet.net/,,bjsocialnetwork,0.3333333333333333
BoingBoing (boingboing.net),left,USA,https://boingboing.net,,,
Boston Review (bostonreview.net),left,USA,http://bostonreview.net,,,
Brut.Media,left,France,https://www.brut.media/,BrutAmerica,brutamerica,0.5333333333333333
Bust Magazine (bust.com),left,USA,https://bust.com,,bust_magazine,0.47058823529411764
Call to Activism (calltoactivism.com),left,USA,https://www.calltoactivism.com/,,,
Canada Fact Check (canadafactcheck.ca),left,Canada,https://canadafactcheck.ca,,jegtheme,0.2608695652173913
Canadian Dimension (canadiandimension.com),left,Canada,https://canadiandimension.com/,UCXu7fg-_KdAoHY7bmahr9vg,cdn_dimension,0.7333333333333333
Capital & Main (capitalandmain.com),left,USA (44/180 Press Freedom),https://capitalandmain.com,UCjfpIrbyc1hMT-CRZWbGF4g,capitalandmain,1.0
Care2 (www.care2.com),left,USA,https://www.care2.com,,care2,1.0
Ceasefire Magazine (ceasefiremagazine.co.uk),left,United Kingdom,https://ceasefiremagazine.co.uk/,,ceasefiremag,0.8275862068965517
Center for American Progress (www.americanprogress.org),left,USA,https://www.americanprogress.org/,seeprogress,amprog,0.5454545454545454
Center for Media and Democracy (www.prwatch.org),left,USA,https://www.prwatch.org/,,exposedbycmd,0.21052631578947367
Center for a Stateless Society (c4ss.org),left,USA,https://c4ss.org/,c4ssvideos,c4ssdotorg,0.5714285714285714
Change.org (https://www.change.org/),left,USA,https://www.change.org/,,,
Chicago Reader (www.chicagoreader.com),left,USA,http://www.chicagoreader.com/,,chicago_reader,0.9629629629629629
Chicago Reporter (chicagoreporter.com),left,USA,https://www.chicagoreporter.com/,ChicagoReporter1972,chicagoreporter,1.0
China Internet Information Center (china.org.cn),left,China,http://www.china.org.cn/,,,
Citizen Critics (citizencritics.org),left,USA,https://citizencritics.org,,,
Climate Home News (climatechangenews.com),left,United Kingdom,https://www.climatechangenews.com/,,climatehome,0.6428571428571429
CNN (www.cnn.com),left,USA,https://www.cnn.com/,,,
Code Pink (www.codepink.org),left,USA,https://www.codepink.org,,,
ColorLines (colorlines.com),left,USA,https://www.colorlines.com,UCHdWMuH-IIveBWjIsOhK-dw,colorlines,1.0
Columbus Free Press (https://columbusfreepress.com/),left,USA,https://columbusfreepress.com,,,
Comic Sands,left,USA,https://www.comicsands.com,,,
Common Dreams (www.commondreams.org),left,USA (45/180 Press Freedom),https://www.commondreams.org/,,,
Commune Magazine (communemag.com),left,USA,https://communemag.com/,,commune_mag,0.9523809523809523
Cop Block (copblock.org),left,USA,http://www.copblock.org/,,,
Cosmopolitan (www.cosmopolitan.com),left,USA,http://www.cosmopolitan.com/,cosmopolitan,cosmopolitan,1.0
CounterCurrents.org (www.countercurrents.org),left,India (142/180 Press Freedom),http://www.countercurrents.org/,CCMEDIACHANNEL,countercurrents,1.0
CounterPunch (www.counterpunch.org),left,USA (44/180 Press Freedom),https://www.counterpunch.org,,,
Crikey (crikey.com.au),left,Australia,https://www.crikey.com.au/,UC4ZxKhcNYIm4ngklkG-ki0A,,
CrimethInc (crimethinc.com),left,USA (44/180 Press Freedom),https://crimethinc.com/,,crimethinc,1.0
Crooked Media (crooked.com),left,USA,https://crooked.com/,crookedmedia,crookedmedia,0.7368421052631579
Crooks and Liars (crooksandliars.com),left,USA,https://crooksandliars.com,,crooksandliars,1.0
Current Affairs (www.currentaffairs.org),left,USA,https://www.currentaffairs.org/,,curaffairs,0.8333333333333334
Curve Magazine (www.curvemag.com),left,USA (44/180 Press Freedom),http://www.curvemag.com,,therealcurve,0.5
Daily Beast (www.thedailybeast.com),left,USA,https://www.thedailybeast.com/,,thedailybeast,1.0
Daily Dot (www.dailydot.com),left,USA (44/180 Press Freedom),https://www.dailydot.com/,,,
Daily Kos,left,USA (45/180 Press Freedom),https://www.dailykos.com/,,dailykos,1.0
Daily News bin,left,,http://www.dailynewsbin.com/,,,
Daily Record (Scotland) (www.dailyrecord.co.uk),left,United Kingdom (33/180 Press Freedom),https://www.dailyrecord.co.uk/,,daily_record,0.9565217391304348
Daily Sound and Fury (dailysoundandfury.com),left,USA,https://dailysoundandfury.com,,dailysoundnfury,0.9375
Dallas Voice (www.dallasvoice.com),left,USA,https://dallasvoice.com/,UCzLKquBnVnmwE8LBYSQTK3w,dallasvoice,1.0
DeadState (deadstate.org),left,USA,https://deadstate.org/,,deadstatetweets,0.75
Deadspin (deadspin.com),left,USA,https://deadspin.com/,UCFsh2bHIGqgRVZnZX8xhI0Q,deadspin,1.0
Deep South Voice (deepsouthvoice.com),left,USA,https://deepsouthvoice.com/,,deepsouthvoice,1.0
