Name,Bias Rating,Country,Website,Youtube Channel,Twitter Handle,Twitter Similarity
Accountable.US,left,USA,https://www.accountable.us/,Accountable US,accountable_us,0.88
Act.TV (act.tv),left,USA,http://act.tv,actdottv,actdottv,0.5454545454545454
Aftonbladet,left,Sweden,https://www.aftonbladet.se,Aftonbladet,aftonbladet,1.0
Al DIA,left,USA,https://aldianews.com,pontealdiatv,aldianews,1.0
Alliance for Justice (AFJ) (www.afj.org),left,USA,https://www.afj.org/,alliance4justice,afjustice,0.5
Alt News,left,India,https://www.altnews.in,AltNewsVIdeos,altnews,1.0
Alternet (www.alternet.org),left,USA,https://www.alternet.org/,,alternet,1.0
Amandla (aidc.org.za),left,South Africa,http://aidc.org.za/amandla-media/,UCmX0gITcFMtmDSah8-wCChw,,
America Blog (americablog.com),left,USA,http://americablog.com/,,,
American Bridge 21st Century (americanbridgepac.org),left,USA,https://americanbridgepac.org/,AmericanBridgePAC,american_bridge,0.875
