Name,Bias Rating,Country,Website,Youtube Channel,Twitter Handle,Twitter Similarity,Youtube User
Accountable.US,left,USA,https://www.accountable.us/,UCRvUQd-GsCR97qKReTE89jQ,accountable_us,0.88,Accountable US
Act.TV (act.tv),left,USA,http://act.tv,UC7yoXZ7c8ZZAimgcqHBtHoQ,actdottv,0.5454545454545454,actdottv
Aftonbladet,left,Sweden,https://www.aftonbladet.se,UC7QxZdogxV1gloaOBO02wiw,aftonbladet,1.0,Aftonbladet
Al DIA,left,USA,https://aldianews.com,UCGrUeq1FtRamLqZgaCIgB3w,aldianews,1.0,pontealdiatv
Alliance for Justice (AFJ) (www.afj.org),left,USA,https://www.afj.org/,UC4chaUevLgCVSz-RcgqgoZQ,afjustice,0.5,alliance4justice
Alt News,left,India,https://www.altnews.in,UCdDjoZAtt6PjQKAbr2FTOAQ,altnews,1.0,AltNewsVIdeos
Alternet (www.alternet.org),left,USA,https://www.alternet.org/,,alternet,1.0,
Amandla (aidc.org.za),left,South Africa,http://aidc.org.za/amandla-media/,UCmX0gITcFMtmDSah8-wCChw,,,UCmX0gITcFMtmDSah8-wCChw
America Blog (americablog.com),left,USA,http://americablog.com/,,,,
American Bridge 21st Century (americanbridgepac.org),left,USA,https://americanbridgepac.org/,UCsSSZZIwlM9OajvbRSydK2A,american_bridge,0.875,AmericanBridgePAC
American Oversight,left,USA,https://www.americanoversight.org,,weareoversight,0.7096774193548387,
Americans United for Separation of Church and State (www.au.org),left,USA,https://www.au.org/,,,,
Angry White Men (angrywhitemen.org),left,USA,https://angrywhitemen.org,,,,
Attack the System (attackthesystem.com),left,USA,https://attackthesystem.com/,,,,
AutoStraddle (www.autostraddle.com),left,USA,https://www.autostraddle.com/,,autostraddle,1.0,
Baltimore City Paper (www.citypaper.com),left,USA,https://www.baltimoresun.com/citypaper/,,,,
Bay Area Reporter (www.ebar.com),left,USA,http://www.ebar.com/,UC_WSavcwZVE3ciFM8yCwkBw,,,UC_WSavcwZVE3ciFM8yCwkBw
Being Liberal (www.themaven.net),left,USA,https://beingliberal.org/,,,,
"BillMoyers.com (billmoyers.com)
",left,USA,https://billmoyers.com/,,billmoyers,1.0,
Bitch Media (bitchmedia.org),left,USA,https://bitchmedia.org/,UCFdJR3ZSJcZ7RGWdSYHt4ag,bitchmedia,1.0,BitchMedia
Black Agenda Report (blackagendareport.com),left,USA,https://blackagendareport.com/,,blkagendareport,0.9375,
Black America Web (blackamericaweb.com),left,USA,https://blackamericaweb.com/,UCexetvuR0DbNlprwhe4Ze1g,blackamericaweb,1.0,blackamericaweb
Black Lives Matter (blacklivesmatter.com),left,USA,https://blacklivesmatter.com,,,,
Black Main Street (blackmainstreet.net),left,USA,https://blackmainstreet.net/,,bjsocialnetwork,0.3333333333333333,
BoingBoing (boingboing.net),left,USA,https://boingboing.net,,boingboing,1.0,
Boston Review (bostonreview.net),left,USA,http://bostonreview.net,UCEOtO8PPWXpCQmX1QpTx3EQ,,,Boston Review
Brut.Media,left,France,https://www.brut.media/,UCSKdvgqdnj72_SLggp7BDTg,brutofficiel,0.5,Brut
Bust Magazine (bust.com),left,USA,https://bust.com,,bust_magazine,0.4705882352941176,
Call to Activism (calltoactivism.com),left,USA,https://www.calltoactivism.com/,,,,
Canada Fact Check (canadafactcheck.ca),left,Canada,https://canadafactcheck.ca,,jegtheme,0.2608695652173913,
Canadian Dimension (canadiandimension.com),left,Canada,https://canadiandimension.com/,UCXu7fg-_KdAoHY7bmahr9vg,cdn_dimension,0.7333333333333333,UCXu7fg-_KdAoHY7bmahr9vg
Capital & Main (capitalandmain.com),left,USA (44/180 Press Freedom),https://capitalandmain.com,UCjfpIrbyc1hMT-CRZWbGF4g,capitalandmain,1.0,UCjfpIrbyc1hMT-CRZWbGF4g
Care2 (www.care2.com),left,USA,https://www.care2.com,,care2,1.0,
Ceasefire Magazine (ceasefiremagazine.co.uk),left,United Kingdom,https://ceasefiremagazine.co.uk/,UC4XfPcG6Y4LozfHgzGu2XwA,ceasefiremag,0.8275862068965517,Ceasefire Magazine
Center for American Progress (www.americanprogress.org),left,USA,https://www.americanprogress.org/,UC0COu43Li7CUL2jseBpH9kQ,amprog,0.5454545454545454,seeprogress
Center for Media and Democracy (www.prwatch.org),left,USA,https://www.prwatch.org/,UC3Qs31jxhhi0tOMhSEpe3WQ,exposedbycmd,0.2105263157894736,The Center for Media and Democracy
Center for a Stateless Society (c4ss.org),left,USA,https://c4ss.org/,UCOA38--mWqKKdCAr6eFy-sA,c4ssdotorg,0.5714285714285714,c4ssvideos
Change.org (https://www.change.org/),left,USA,https://www.change.org/,UCcrxX7CwpZjNgnSRF7vbWlA,ukchange,0.8571428571428571,Change.org Deutschland
Chicago Reader (www.chicagoreader.com),left,USA,http://www.chicagoreader.com/,UCSAEKsuh_gwX_MmpRjLhdMw,,,Chicago Reader
Chicago Reporter (chicagoreporter.com),left,USA,https://www.chicagoreporter.com/,UCKL_VqV2UqBnmjGy4fLQ24g,chicagoreporter,1.0,ChicagoReporter1972
China Internet Information Center (china.org.cn),left,China,http://www.china.org.cn/,,chinaorgcn,0.6666666666666666,
Citizen Critics (citizencritics.org),left,USA,https://citizencritics.org,,,,
